Num		Valor		Binario
1		03			00000011
2		0A			00001010
3		AA			10101010
4		15			00010101
5		EE			11101110
6		01			00000001
7		15			00010101
8		EE			11101110
9		22			00100010
10		AB			10101011
11		02			00000010
12		BA			10111010
13		53			01010011
14		2F			00101111
15		A2			10100010
16		53			01010011
17		2F			00101111
18		A1			10100001
19		01			00000001
20		53			01010011
21		2F			00101111
22		A3			10100011
23		53			01010011
24		2F			00101111
25		A1			10100001
26		04			00000100
27		11			00010001
28		54			01010100
29		0B			00001011
